,attack_results_SME_attack_type,attack_results_SME_maliciousness,attack_results_SME_attack_strength,attack_results_SME_potential_impact,attack_results_SME_cvss_base_score,attack_results_SMB_attack_type,attack_results_SMB_maliciousness,attack_results_SMB_attack_strength,attack_results_SMB_potential_impact,attack_results_SMB_cvss_base_score,total_workload,impact_availability,impact_confidentiality,impact_integrity
77,DDoS,0.135435605,0.203153408,Medium,0,DDoS,0.135435605,0.203153408,Medium,0,1.778153408,0.8,0,0
78,DDoS,0.065988206,0.098982309,Medium,0,DDoS,0.065988206,0.098982309,Medium,0,0.098982309,0,0,0
79,DDoS,0.300707752,0.451061627,High,7,DDoS,0.300707752,0.451061627,High,7,0.451061627,0.8,0,0
80,DDoS,0.376632518,0.564948777,Medium,0,DDoS,0.376632518,0.564948777,Medium,0,0.564948777,0.422350826,0,0
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,SQL Injection,0.761880178,1.142820267,Medium,7,SQL Injection,0.761880178,1.142820267,Medium,7,1.142820267,1.022820267,2.8,2.8
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,SQL Injection,0.30535178,0.45802767,High,9,SQL Injection,0.30535178,0.45802767,High,9,0.45802767,0.33802767,7.2,7.2
85,SQL Injection,0.75,1.125,Low,0,SQL Injection,0.75,1.125,Low,0,1.125,1.005,0,0
86,DDoS,0.602343082,0.903514623,Low,0,DDoS,0.602343082,0.903514623,Low,0,0.903514623,0.747374038,0,0
87,SQL Injection,0.4158155,0.623723251,High,9,SQL Injection,0.4158155,0.623723251,High,9,2.198723251,2.015723251,7.2,7.2
88,DDoS,0.75,1.125,High,7,DDoS,0.75,1.125,High,7,2.396222919,0.8,0,0
89,SQL Injection,0.75,1.125,Low,0,SQL Injection,0.75,1.125,Low,0,1.125,1.005,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,SQL Injection,0.07808098,0.11712147,High,9,SQL Injection,0.07808098,0.11712147,High,9,0.11712147,0,7.2,7.2
93,SQL Injection,0.67713633,1.015704496,High,9,SQL Injection,0.67713633,1.015704496,High,9,1.447328574,1.310063611,7.2,7.2
